"odata.type","ID","Position","ParentID","Type","Key","Title","Description","Datatype","Unit","Decimals","Default"
"Cbs.OData.Dimension",0,0,,"Dimension","RegioS","Regio's","",,,,
"Cbs.OData.TopicGroup",1,,,"TopicGroup","","Codes en namen van gemeenten","Dit onderdeel bevat de officiële codes en namen van gemeenten en een alfabetische sortering van de namen van de gemeenten.",,,,
"Cbs.OData.Topic",2,1,1,"Topic","Code_1","Code","De gemeentecode is gebaseerd op de officiële schrijfwijze van de naam van de gemeente en is uniek in relatie tot die naam. De code wordt door het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK) in overleg met CBS vastgesteld.
","String","code",0,"Impossible"
"Cbs.OData.Topic",3,2,1,"Topic","Naam_2","Naam","De naam van de gemeente volgt de officiële schrijfwijze. Lidwoorden en voorvoegsels staan dus voor de gemeentenaam (bijv. De Bilt), terwijl tevens de officiële schrijfwijze in hoofdletters en kleine letters is gevolgd.","String","naam",0,"Impossible"
"Cbs.OData.Topic",4,3,1,"Topic","SorteringNaam_3","Sortering naam","Een hulpmiddel voor het sorteren van namen van gemeenten op alfabetische volgorde. Bij de bepaling van deze volgorde zijn de volgende regels in acht genomen:
- voorvoegsels en lidwoorden hebben geen invloed op de volgorde (dus De Bilt onder B), 
- verbindingsstreepjes gelden als een letter (Alphen aan den Rijn komt voor Alphen-Chaam),
- de IJ (bijvoorbeeld IJsselstein) valt onder de I.
Het sorteerveld van gemeentenamen is vooral bedoeld om buiten StatLine namen van gemeenten (rijks)alfabetisch te ordenen.
","String","naam",0,"Impossible"
"Cbs.OData.TopicGroup",5,,,"TopicGroup","","Lokaliseringen van gemeenten","Dit onderdeel bevat informatie over de relatie tussen de gemeentelijke indeling (het laagste bestuurlijk niveau) en diverse onderverdelingen van het Nederlandse grondgebied op bovengemeentelijk niveau.",,,,
"Cbs.OData.TopicGroup",6,,5,"TopicGroup","","Arbeidsmarktregio's","AM = Arbeidsmarktregio
Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. Nederland telt 35 arbeidsmarktregio's.

Met ingang van 1-1-2021 is de gemeente Vijfheerenlanden in zijn geheel toebedeeld aan de Arbeidsmarktregio ‘Gorinchem’, code AM35. In de jaren hiervoor was de gemeente over meerdere Arbeidsmarktregio’s verdeeld en stond daarom in deze tabel als ‘Niet in te delen’, code AM99.",,,,
"Cbs.OData.Topic",7,4,6,"Topic","Code_4","Code","Codes van de arbeidsmarktregio's.","String","code",0,"Impossible"
"Cbs.OData.Topic",8,5,6,"Topic","Naam_5","Naam","Namen van de arbeidsmarktregio's.","String","naam",0,"Impossible"
"Cbs.OData.TopicGroup",9,,5,"TopicGroup","","Arrondissementen (rechtsgebieden)","AR = Arrondissement (rechtsgebied)
Lokalisering van gemeenten per arrondissement. Een arrondissement is het rechtsgebied van één van de 11 rechtbanken in Nederland. De indeling in 11 arrondissementen betreft een onderverdeling van de ressorten, dat zijn de rechtsgebieden van de gerechtshoven.
",,,,
"Cbs.OData.Topic",10,6,9,"Topic","Code_6","Code","Codes van de rechtsgebieden van de arrondissementen.","String","code",0,"Impossible"
"Cbs.OData.Topic",11,7,9,"Topic","Naam_7","Naam","Namen van de rechtsgebieden van de arrondissementen.","String","naam",0,"Impossible"
"Cbs.OData.TopicGroup",12,,5,"TopicGroup","","COROP-gebieden","CR = COROP-gebied
Lokalisering van gemeenten per COROP-gebied. De indeling in COROP-gebieden vormt een regionaal niveau tussen gemeenten en provincies in. Omstreeks 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.
",,,,
"Cbs.OData.Topic",13,8,12,"Topic","Code_8","Code","Codes van de COROP-gebieden.","String","code",0,"Impossible"
"Cbs.OData.Topic",14,9,12,"Topic","Naam_9","Naam","Namen van de COROP-gebieden.","String","naam",0,"Impossible"
"Cbs.OData.TopicGroup",15,,5,"TopicGroup","","COROP-subgebieden","CS = COROP-subgebied
Lokalisering van gemeenten naar COROP-subgebieden. Een onderverdeling van de 40 COROP-gebieden, waarbij de volgende gebieden zijn opgesplitst: Groot-Amsterdam, Groot-Rijnmond en Noordoost-Noord-Brabant. Nederland telt 43 COROP-subgebieden.
",,,,
