"Key","Title","Description","CategoryGroupID"
"GM1680    ","Aa en Hunze","Ontstaan per 01-01-1998",1
"GM0358    ","Aalsmeer","Begindatum voor 1830",1
"GM0197    ","Aalten","Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830",1
"GM0059    ","Achtkarspelen","Begindatum voor 1830",1
"GM0482    ","Alblasserdam","Begindatum voor 1830",1
"GM0613    ","Albrandswaard","Ontstaan per 01-01-1985",1
"GM0361    ","Alkmaar","Gemeentelijke herindeling per 01-01-2015
Begindatum voor 1830",1
"GM0141    ","Almelo","Begindatum 01-12-1913",1
"GM0034    ","Almere","Ontstaan per 01-01-1984",1
"GM0484    ","Alphen aan den Rijn","Gemeentelijke herindeling per 01-01-2014
Naamswijziging per 01-01-1918",1
"GM1723    ","Alphen-Chaam","Ontstaan per 01-01-1997",1
"GM1959    ","Altena","Ontstaan per 01-01-2019",1
"GM0060    ","Ameland","Begindatum voor 1830",1
"GM0307    ","Amersfoort","Begindatum voor 1830",1
"GM0362    ","Amstelveen","Naamswijziging per 01-01-1964",1
"GM0363    ","Amsterdam","Begindatum voor 1830",1
"GM0200    ","Apeldoorn","Begindatum voor 1830",1
"GM0202    ","Arnhem","Begindatum voor 1830",1
"GM0106    ","Assen","Begindatum voor 1830",1
"GM0743    ","Asten","Begindatum voor 1830",1
"GM0744    ","Baarle-Nassau","Begindatum voor 1830",1
"GM0308    ","Baarn","Begindatum voor 1830",1
"GM0489    ","Barendrecht","Naamswijziging per 10-12-1886",1
"GM0203    ","Barneveld","Begindatum voor 1830",1
"GM0888    ","Beek (L.)","Begindatum 02-01-1839",1
"GM1954    ","Beekdaelen","Ontstaan per 01-01-2019",1
"GM0889    ","Beesel","Begindatum 02-01-1839",1
"GM1945    ","Berg en Dal","Naamswijziging per 01-01-2016",1
"GM1724    ","Bergeijk","Naamswijziging per 25-09-1998",1
"GM0893    ","Bergen (L.)","Begindatum 02-01-1839",1
"GM0373    ","Bergen (NH.)","Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830",1
"GM0748    ","Bergen op Zoom","Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830",1
"GM1859    ","Berkelland","Ontstaan per 01-01-2005",1
"GM1721    ","Bernheze","Naamswijziging per 28-01-1995",1
"GM0753    ","Best","Begindatum voor 1830",1
"GM0209    ","Beuningen","Begindatum voor 1830",1
"GM0375    ","Beverwijk","Begindatum voor 1830",1
"GM0310    ","De Bilt","Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830",1
"GM1728    ","Bladel","Ontstaan per 01-01-1997",1
"GM0376    ","Blaricum","Begindatum voor 1830",1
"GM0377    ","Bloemendaal","Gemeentelijke herindeling per 01-01-2009
Begindatum voor 1830",1
"GM1901    ","Bodegraven-Reeuwijk","Ontstaan per 01-01-2011",1
"GM0755    ","Boekel","Begindatum voor 1830",1
"GM1681    ","Borger-Odoorn","Ontstaan per 01-01-1998",1
"GM0147    ","Borne","Begindatum voor 1830",1
"GM0654    ","Borsele","Naamswijziging per 01-01-1970",1
"GM0757    ","Boxtel","Gemeentelijke herindeling per 01-01-2021
Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830",1
"GM0758    ","Breda","Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830",1
